,pid,rank,name,link,points_moved,tourneys_played,points_losing,points_gaining
238,h0du,238,Gustavo Heide,/en/players/gustavo-heide/h0du/overview,-,22,-,-
239,li03,239,Edoardo Lavagno,/en/players/edoardo-lavagno/li03/overview,-,30,-,-
240,j386,240,Steve Johnson,/en/players/steve-johnson/j386/overview,-,13,-,-
241,w0bh,241,Coleman Wong,/en/players/coleman-wong/w0bh/overview,-4,26,4,-
242,b0ej,242,Tristan Boyer,/en/players/tristan-boyer/b0ej/overview,+7,23,-,-
243,s0aq,243,Yuta Shimizu,/en/players/yuta-shimizu/s0aq/overview,-,23,2,-
244,pj74,244,Lucas Poullain,/en/players/lucas-poullain/pj74/overview,-,27,25,3
245,m0ht,245,Alejandro Moro Canas,/en/players/alejandro-moro-canas/m0ht/overview,-13,23,-,-
246,a0ab,246,Adrian Andreev,/en/players/adrian-andreev/a0ab/overview,+10,31,-,-
247,be90,247,Ricardas Berankis,/en/players/ricardas-berankis/be90/overview,+3,21,11,-
248,u134,248,Yasutaka Uchiyama,/en/players/yasutaka-uchiyama/u134/overview,-2,21,-,-
249,wb32,249,Yibing Wu,/en/players/yibing-wu/wb32/overview,-,14,-,-
250,r0go,250,Henrique Rocha,/en/players/henrique-rocha/r0go/overview,-13,30,3,1
251,dc48,251,Murkel Dellien,/en/players/murkel-dellien/dc48/overview,+21,31,-,-
252,bi47,252,Riccardo Bonadio,/en/players/riccardo-bonadio/bi47/overview,-,29,32,-
253,k0hc,253,Maks Kasnikowski,/en/players/maks-kasnikowski/k0hc/overview,+5,28,15,2
254,fa43,254,Juan Pablo Ficovich,/en/players/juan-pablo-ficovich/fa43/overview,-,32,-,-
255,j620,255,Maxime Janvier,/en/players/maxime-janvier/j620/overview,-,31,-,-
256,gh33,256,Manuel Guinard,/en/players/manuel-guinard/gh33/overview,-,28,-,-
257,ml57,257,Gianluca Mager,/en/players/gianluca-mager/ml57/overview,-,18,-,-
258,i0a7,258,Nicholas David Ionel,/en/players/nicholas-david-ionel/i0a7/overview,-,35,4,3
259,j380,259,Jason Jung,/en/players/jason-jung/j380/overview,-14,18,-,-
260,bk19,260,Mathias Bourgue,/en/players/mathias-bourgue/bk19/overview,-11,24,16,-
261,a887,261,Guido Andreozzi,/en/players/guido-andreozzi/a887/overview,-16,22,20,-
262,bi81,262,Alex Bolt,/en/players/alex-bolt/bi81/overview,-,18,32,-
263,k0e6,263,Alibek Kachmazov,/en/players/alibek-kachmazov/k0e6/overview,-12,26,-,-
264,f0dm,264,Arthur Fery,/en/players/arthur-fery/f0dm/overview,-,15,-,-
265,s0ti,265,Philip Sekulic,/en/players/philip-sekulic/s0ti/overview,-,25,16,-
266,bp41,266,Antoine Bellier,/en/players/antoine-bellier/bp41/overview,-6,22,25,-
267,o0a2,267,Gauthier Onclin,/en/players/gauthier-onclin/o0a2/overview,-24,27,-,-
268,mw54,268,Dragos Nicolae Madaras,/en/players/dragos-nicolae-madaras/mw54/overview,-,21,-,-
269,r0eb,269,Valentin Royer,/en/players/valentin-royer/r0eb/overview,-,24,16,-
270,sl08,270,Tennys Sandgren,/en/players/tennys-sandgren/sl08/overview,-,24,-,-
271,dg80,271,Enrico Dalla Valle,/en/players/enrico-dalla-valle/dg80/overview,+1,28,-,-
272,s0gr,272,Timofey Skatov,/en/players/timofey-skatov/s0gr/overview,-,20,-,-
273,e698,273,Gastao Elias,/en/players/gastao-elias/e698/overview,+2,16,16,-
274,d864,274,Evgeny Donskoy,/en/players/evgeny-donskoy/d864/overview,-7,27,5,-
275,fc49,275,Giovanni Fonio,/en/players/giovanni-fonio/fc49/overview,+2,34,-,-
276,h09p,276,Brandon Holt,/en/players/brandon-holt/h09p/overview,+13,18,10,-
277,bu54,277,Geoffrey Blancaneaux,/en/players/geoffrey-blancaneaux/bu54/overview,-,29,-,-
278,s0ak,278,Henri Squire,/en/players/henri-squire/s0ak/overview,-5,31,-,-
279,gg65,279,Michael Geerts,/en/players/michael-geerts/gg65/overview,-,33,-,-
280,sh90,280,Joao Sousa,/en/players/joao-sousa/sh90/overview,-,21,-,-
281,o376,281,Renzo Olivo,/en/players/renzo-olivo/o376/overview,-,27,6,2
282,s0gz,282,Nikolas Sanchez Izquierdo,/en/players/nikolas-sanchez-izquierdo/s0gz/overview,-,32,-,-
283,v708,283,Jiri Vesely,/en/players/jiri-vesely/v708/overview,-,17,-,-
284,cc66,284,Andrea Collarini,/en/players/andrea-collarini/cc66/overview,-,24,-,-
285,lc11,285,Tristan Lamasine,/en/players/tristan-lamasine/lc11/overview,+3,26,-,-
286,o449,286,Oscar Otte,/en/players/oscar-otte/o449/overview,-,19,-,-
287,q02l,287,Ethan Quinn,/en/players/ethan-quinn/q02l/overview,-,21,-,-
288,i186,288,John Isner,/en/players/john-isner/i186/overview,-,13,-,-
289,pf39,289,Lucas Pouille,/en/players/lucas-pouille/pf39/overview,+16,12,-,-
290,ea13,290,Moez Echargui,/en/players/moez-echargui/ea13/overview,-14,28,16,2
291,kd35,291,Thai-Son Kwiatkowski,/en/players/thai-son-kwiatkowski/kd35/overview,-,25,-,-
